Week,PF_Return,BM_Return,Top_US,Top_JP,PF_Cum,BM_Cum
2025-06-16,-6.08%,-0.46%,"HOOD, PLTR, ZS, INSM, ORCL, DG, GEV, NRG, STX, DLTR","4784, 5535, 5032, 6986, 7453, 4506",134.0%,104.7%
2025-06-23,-2.09%,+3.78%,"HOOD, INSM, ZS, PLTR, STX, JBL, CVNA, MU, NRG, COIN","4784, 7453, 7034, 3903, 5032, 3415",131.2%,108.7%
2025-06-30,+4.16%,+1.70%,"HOOD, COIN, STX, JBL, NRG, GEV, SOXL, VST, ZS, SATS","7453, 6871, 3763, 5032, 3563, 7003",136.7%,110.5%
2025-07-07,+1.78%,-0.28%,"HOOD, SOXL, COIN, STX, TECL, CVNA, SATS, WDC, JBL, ORCL","6269, 6330, 6871, 3563, 6857, 6590",139.1%,110.2%
2025-07-14,+5.04%,+0.64%,"HOOD, COIN, SOXL, STX, SATS, RCL, WDC, TECL, CVNA, PLTR","6330, 6269, 6814, 3563, 6857, 4506",146.1%,110.9%
2025-07-21,-1.32%,+1.52%,"HOOD, SOXL, COIN, TECL, PLTR, STX, ORCL, RCL, WDC, GEV","6330, 7003, 3563, 6814, 6269, 4676",144.2%,112.6%
2025-07-28,+3.93%,-2.41%,"HOOD, GEV, PLTR, FIX, IVZ, ORCL, COIN, TPR, RCL, STX","6330, 7003, 3415, 4506, 7383, 6331",149.9%,109.9%
2025-08-04,+7.30%,+2.49%,"HOOD, SMCI, GEV, FIX, AMD, WDC, GNRC, ALNY, STX, LITE","6330, 4461, 5803, 7003, 7250, 5801",160.8%,112.6%
2025-08-11,+4.78%,+0.98%,"HOOD, ALNY, PLTR, GEV, LITE, AMD, FIX, GNRC, SHOP, WDC","6330, 7003, 4461, 5803, 4839, 5262",168.5%,113.7%
2025-08-18,-2.92%,+0.29%,"INSM, ALNY, HOOD, FIX, GNRC, EBAY, AMD, GEV, LITE, NEM","6330, 5803, 4461, 5706, 9984, 7003",163.6%,114.1%
2025-08-25,+3.69%,-0.04%,"INSM, ALNY, HOOD, LITE, GNRC, FIX, WDC, EBAY, DHI, ANET","3853, 6330, 4072, 5706, 7003, 6814",169.6%,114.0%
2025-09-01,-0.60%,+0.34%,"SATS, LITE, INSM, HOOD, NEM, ALNY, FIX, ANET, WDC, STX","3853, 5706, 7003, 6330, 6814, 6278",168.6%,114.4%
2025-09-08,+0.12%,+1.57%,"SATS, LITE, INSM, WDC, SNDK, STX, CIEN, FIX, ALNY, NEM","3853, 5706, 4506, 6330, 5262, 6278",168.8%,116.2%
2025-09-15,+3.90%,+0.96%,"SATS, SNDK, LITE, WBD, CIEN, WDC, HOOD, STX, APP, PSKY","3853, 285A, 5706, 9984, 5803, 6310",175.4%,117.3%
2025-09-22,+0.55%,-0.01%,"SATS, SNDK, LITE, APP, CIEN, WDC, STX, WBD, HOOD, FIX","3853, 285A, 5706, 5803, 9984, 5016",176.3%,117.3%
2025-09-29,+7.70%,+1.12%,"SATS, SNDK, APP, CIEN, WDC, WBD, LITE, STX, HOOD, FIX","3853, 5706, 5016, 285A, 9984, 5803",189.9%,118.6%
2025-10-06,-2.21%,-2.42%,"SNDK, WDC, HOOD, SATS, SOXL, STX, APP, CIEN, LITE, MU","285A, 5706, 5016, 4446, 9984, 5803",185.7%,115.7%
2025-10-13,+0.21%,+1.74%,"SNDK, SATS, WDC, CIEN, HOOD, SOXL, STX, AMD, INTC, LITE","4446, 5706, 285A, 5803, 9984, 5016",186.1%,117.8%
2025-10-20,+6.92%,+1.94%,"SNDK, SATS, SOXL, WDC, CIEN, MU, AMD, LITE, STX, HOOD","4446, 285A, 5706, 6814, 5803, 9984",199.0%,120.0%
2025-10-27,+9.92%,+0.71%,"SNDK, SATS, SOXL, MU, WDC, CIEN, AMD, LITE, STX, HOOD","285A, 6814, 6330, 4446, 5706, 5803",218.7%,120.9%
2025-11-03,+6.42%,-1.63%,"SNDK, SATS, SOXL, WDC, LITE, MU, CIEN, AMD, INSM, WBD","285A, 4062, 4446, 5706, 6330, 6857",232.8%,118.9%
2025-11-10,-1.66%,+0.14%,"SNDK, LITE, WDC, SATS, MU, CIEN, STX, WBD, INSM, SOXL","285A, 5706, 6330, 5803, 4062, 4082",228.9%,119.1%
2025-11-17,-8.92%,-1.92%,"SNDK, WDC, LITE, SATS, MU, WBD, CIEN, INSM, STX, TER","285A, 5706, 3110, 6330, 6269, 4446",208.5%,116.8%
2025-11-24,+5.10%,+3.70%,"SNDK, LITE, SATS, INSM, WBD, WDC, CIEN, MU, ALB, STX","285A, 3110, 5706, 6269, 4506, 6330",219.1%,121.1%
2025-12-01,-1.83%,+0.34%,"SNDK, LITE, WDC, CIEN, SATS, WBD, MU, INSM, COHR, ALB","285A, 4446, 3110, 4506, 6269, 3103",215.1%,121.5%
2025-12-08,-1.26%,-0.57%,"SNDK, LITE, SATS, WBD, WDC, COHR, CIEN, SOXL, TER, INSM","285A, 4446, 5706, 6961, 6269, 6330",212.4%,120.8%
2025-12-15,-0.27%,-0.17%,"SATS, SNDK, LITE, WDC, WBD, CIEN, COHR, TER, ALB, STX","3656, 285A, 5706, 4446, 6197, 6330",211.8%,120.6%
2025-12-22,+2.99%,+1.73%,"SNDK, LITE, SATS, WDC, CIEN, ALB, COHR, WBD, MU, TER","3902, 4446, 285A, 3656, 5706, 6197",218.2%,122.7%
2025-12-29,+1.60%,-1.03%,"SNDK, LITE, SATS, CIEN, WDC, MU, COHR, ALB, WBD, TER","3902, 285A, 3656, 6330, 4446, 5706",221.7%,121.4%
2026-01-05,+8.27%,+1.60%,"SNDK, LITE, SATS, CIEN, MU, WDC, WBD, ALB, COHR, TER","3902, 285A, 3656, 6330, 6197, 5706",240.0%,123.4%
2026-01-12,+12.40%,-0.35%,"SNDK, LITE, SATS, MU, WDC, ALB, LRCX, CIEN, TER, SOXL","3902, 6330, 285A, 4082, 5706, 4506",269.8%,123.0%
2026-01-19,-2.22%,-0.35%,"SNDK, SATS, MU, WDC, LITE, SOXL, TER, LRCX, CIEN, ALB","6330, 4082, 5707, 285A, 3902, 5706",263.8%,122.5%
2026-01-26,+6.80%,+0.40%,"SNDK, SATS, MU, WDC, LITE, ALB, SOXL, MRNA, TER, STX","4082, 285A, 6330, 3902, 5707, 3110",281.7%,123.0%
2026-02-02,+5.14%,-0.20%,"SNDK, MU, LITE, SATS, WDC, STX, ALB, LRCX, SOXL, MRNA","285A, 3103, 3902, 6330, 4082, 5707",296.2%,122.8%
2026-02-09,+11.82%,-1.28%,"SNDK, LITE, WDC, SATS, MU, TER, STX, CIEN, SOXL, GLW","3103, 285A, 4082, 6330, 3902, 1515",331.2%,121.2%
2026-02-16,-4.03%,+1.13%,"SNDK, LITE, WDC, TER, SATS, CIEN, MU, STX, GLW, SOXL","3103, 285A, 3902, 5801, 1515, 4082",317.8%,122.6%
2026-02-23,+9.59%,-0.50%,"SNDK, LITE, CIEN, WDC, MU, TER, COHR, SATS, SOXL, GLW","3103, 285A, 5801, 7826, 3902, 6787",348.3%,121.9%
2026-03-02,-11.68%,-1.98%,"SNDK, LITE, CIEN, WDC, MU, TER, GLW, MRNA, COHR, TPL","3103, 285A, 5801, 3110, 7826, 5706",307.7%,119.5%
2026-03-09,-1.55%,-1.50%,"SNDK, LITE, MRNA, TPL, MU, CIEN, WDC, COHR, VRT, CF","3103, 285A, 5801, 3902, 6787, 7826",302.9%,117.7%
2026-03-16,+4.99%,-2.07%,"SNDK, LITE, MU, MRNA, CIEN, WDC, TPL, CF, COHR, TER","6740, 3103, 5801, 3902, 285A, 4082",318.0%,115.3%
2026-03-23,-10.94%,-1.97%,"SNDK, LITE, CIEN, WDC, MU, APA, LYB, TPL, TER, CF","6740, 3103, 285A, 5801, 4082, 3110",283.2%,113.0%
2026-03-30,+6.77%,+3.43%,"SNDK, LITE, CIEN, APA, LYB, DOW, CF, WDC, OXY, VLO","6740, 3103, 5801, 6787, 285A, 4082",302.4%,116.9%
2026-04-06,+8.33%,+3.60%,"SNDK, LITE, CIEN, WDC, DOW, APA, LYB, TER, GLW, COHR","6740, 3103, 5801, 285A, 6787, 268A",327.6%,121.1%
2026-04-13,+30.27%,+4.52%,"SNDK, LITE, CIEN, WDC, TER, COHR, GLW, STX, SOXL, MRVL","3103, 5801, 6740, 285A, 3110, 6787",426.7%,126.6%
2026-04-20,-3.38%,+0.54%,"SNDK, LITE, CIEN, COHR, SOXL, WDC, TER, STX, MRVL, GLW","3103, 6740, 5801, 285A, 6787, 3110",412.3%,127.3%
2026-04-27,-7.34%,-0.32%,"SNDK, SOXL, LITE, CIEN, INTC, WDC, MRVL, TER, STX, COHR","3103, 6740, 5801, 285A, 6787, 6800",382.1%,126.9%
