ticker,market,currency,price,day_chg,ytd_chg,ret_1m,ret_3m,ret_6m,ret_1y,high_52w,low_52w,from_ath,rsi,vol_ratio,ma20,ma50,ma200,score,name
2433.T,JP,JPY,1050.0,-0.05,-8.74,2.29,-11.25,-4.19,2.64,1201.77,989.58,-12.63,50.4,0.9,1061.42,1071.64,1128.42,3,2433.T
7531.T,JP,JPY,1458.0,-2.15,-2.02,-0.82,-8.3,-9.19,10.33,1802.79,1321.52,-19.13,53.4,1.51,1461.65,1462.6,1554.19,3,7531.T
6562.T,JP,JPY,974.0,0.41,-7.06,3.18,-10.72,-22.94,-35.79,1874.0,888.0,-48.03,62.5,1.26,940.1,960.74,1174.99,3,6562.T
RCL,US,USD,265.8399963378906,2.08,-5.65,-2.98,-8.83,-15.37,27.26,361.56,208.9,-26.47,44.9,0.72,273.64,285.03,299.43,3,RCL
8056.T,JP,JPY,4746.0,0.81,-10.81,2.28,-9.45,-18.74,6.69,6394.11,4322.11,-25.78,53.8,0.69,4734.15,4634.81,5482.35,3,8056.T
7069.T,JP,JPY,790.0,-1.5,4.64,1.67,-13.19,3.4,15.16,927.0,677.0,-14.78,58.6,1.3,780.0,790.64,790.82,3,7069.T
7162.T,JP,JPY,225.0,-1.75,6.48,1.81,7.47,-4.87,-7.15,271.4,197.74,-17.1,44.9,0.2,230.9,219.2,229.18,3,7162.T
ARE,US,USD,47.400001525878906,2.2,-1.68,0.29,-15.76,-36.47,-33.39,83.51,42.61,-43.24,65.5,0.57,45.65,48.48,60.3,3,ARE
4015.T,JP,JPY,468.0,10.12,-7.14,2.63,-6.21,-9.65,-28.11,943.0,400.0,-50.37,52.8,2.39,446.55,459.82,578.21,3,4015.T
9565.T,JP,JPY,753.0,5.76,-6.81,3.86,-9.39,-4.44,-27.74,1139.0,709.0,-33.89,50.9,3.13,727.4,738.36,845.23,3,9565.T
3710.T,JP,JPY,635.0,-2.91,10.05,1.76,7.99,8.55,9.28,745.0,564.0,-14.77,28.6,0.57,677.9,631.36,594.57,3,3710.T
